Preprocessed_Sloka,Tokenss
अस्माभिः सदा चरित्रं रक्षणीयम् ॥,"['अस्माभिः', 'सदा', 'चरित्रं', 'रक्षणीयम्', '॥']"
परं क्षिपति दोषेण वर्त्तमानः स्वयं तथा । यश्च क्रुध्यत्यनीशानः स च मूढतमो नरः ॥,"['परं', 'क्षिपति', 'दोषेण', 'वर्त्तमानः', 'स्वयं', 'तथा', '।', 'यश्च', 'क्रुध्यत्यनीशानः', 'स', 'च', 'मूढतमो', 'नरः', '॥']"
उपार्जितानां वित्तानां त्याग एव हि रक्षणम्। तडागोदरसंस्थानां परिदाह इदाम्मससाम्॥,"['उपार्जितानां', 'वित्तानां', 'त्याग', 'एव', 'हि', 'रक्षणम्।', 'तडागोदरसंस्थानां', 'परिदाह', 'इदाम्मससाम्॥']"
पुस्तकेषु च या विद्या परहस्तेषु च यद्धनम् । उत्पन्नेषु च कार्येषु न सा विद्या न तद्धनम् ॥,"['पुस्तकेषु', 'च', 'या', 'विद्या', 'परहस्तेषु', 'च', 'यद्धनम्', '।', 'उत्पन्नेषु', 'च', 'कार्येषु', 'न', 'सा', 'विद्या', 'न', 'तद्धनम्', '॥']"
अनर्थाः संघचारिणः ॥,"['अनर्थाः', 'संघचारिणः', '॥']"
असन्त्यागात् पापकृतामपापांस्तुल्यो दण्डः स्पृशते मिश्रभावात्। शुष्केणार्दंदह्यते मिश्रभावात्तस्मात् पापैः सह सन्धि नकुर्य्यात् ॥,"['असन्त्यागात्', 'पापकृतामपापांस्तुल्यो', 'दण्डः', 'स्पृशते', 'मिश्रभावात्।', 'शुष्केणार्दंदह्यते', 'मिश्रभावात्तस्मात्', 'पापैः', 'सह', 'सन्धि', 'नकुर्य्यात्', '॥']"
श्रध्दा ज्ञानं ददाति नम्रता मानं ददाति योग्यता स्थानं ददाति ॥,"['श्रध्दा', 'ज्ञानं', 'ददाति', 'नम्रता', 'मानं', 'ददाति', 'योग्यता', 'स्थानं', 'ददाति', '॥']"
विज्ञान दीपेन संसार भयं निवर्तते ॥,"['विज्ञान', 'दीपेन', 'संसार', 'भयं', 'निवर्तते', '॥']"
लोभमूलानि पापानि ॥,"['लोभमूलानि', 'पापानि', '॥']"
क्षिप्रं विजानाति चिरं शृणोति विज्ञाय चार्थ भते न कामात्। नासम्पृष्टो व्युपयुङ्क्ते परार्थे तत् प्रज्ञानं प्रथमं पण्डितस्य ॥,"['क्षिप्रं', 'विजानाति', 'चिरं', 'शृणोति', 'विज्ञाय', 'चार्थ', 'भते', 'न', 'कामात्।', 'नासम्पृष्टो', 'व्युपयुङ्क्ते', 'परार्थे', 'तत्', 'प्रज्ञानं', 'प्रथमं', 'पण्डितस्य', '॥']"
इन्द्रियैरिन्द्रियार्थेषु वर्तमानैरनिग्रहैः। तैरयं ताप्यते लोको नक्षत्राणि ग्रहैरिव ॥,"['इन्द्रियैरिन्द्रियार्थेषु', 'वर्तमानैरनिग्रहैः।', 'तैरयं', 'ताप्यते', 'लोको', 'नक्षत्राणि', 'ग्रहैरिव', '॥']"
स्वभावो दुरतिक्रमः ॥,"['स्वभावो', 'दुरतिक्रमः', '॥']"
आचारः कुलमाख्याति देशमाख्याति भाषणम्। सम्भ्रमः स्नेहमाख्याति वपुराख्याति भोजनम् ॥,"['आचारः', 'कुलमाख्याति', 'देशमाख्याति', 'भाषणम्।', 'सम्भ्रमः', 'स्नेहमाख्याति', 'वपुराख्याति', 'भोजनम्', '॥']"
अप्रयत्नात् कार्यविपत्तिभर्वती ॥,"['अप्रयत्नात्', 'कार्यविपत्तिभर्वती', '॥']"
रूपयौवनसम्पन्ना विशालकुलसम्भवाः। विद्याहीना न शोभन्ते निर्गन्धा इव किंशुकाः ॥,"['रूपयौवनसम्पन्ना', 'विशालकुलसम्भवाः।', 'विद्याहीना', 'न', 'शोभन्ते', 'निर्गन्धा', 'इव', 'किंशुकाः', '॥']"
वृथा वृष्टिः समुद्रेषु वृथा तृप्तेषु भोजनम्। वृथा दानं धनाढ्येषु वृथा दीपो दिवापि च॥,"['वृथा', 'वृष्टिः', 'समुद्रेषु', 'वृथा', 'तृप्तेषु', 'भोजनम्।', 'वृथा', 'दानं', 'धनाढ्येषु', 'वृथा', 'दीपो', 'दिवापि', 'च॥']"
स्त्रीषु राजसु सर्पेषु स्वाध्यायप्रभुशत्रुषु। भोगेष्वायुषि विश्चासं कः प्राज्ञः कर्तुर्महति ॥,"['स्त्रीषु', 'राजसु', 'सर्पेषु', 'स्वाध्यायप्रभुशत्रुषु।', 'भोगेष्वायुषि', 'विश्चासं', 'कः', 'प्राज्ञः', 'कर्तुर्महति', '॥']"
अपरीक्ष्यकारिणं श्रीः परित्यजति ॥,"['अपरीक्ष्यकारिणं', 'श्रीः', 'परित्यजति', '॥']"
क्रोधो वैवस्वतो राजा तृष्णा वैतरणी नदी। विद्या कामदुधा धेनुः संतोषो नन्दनं वनम्॥,"['क्रोधो', 'वैवस्वतो', 'राजा', 'तृष्णा', 'वैतरणी', 'नदी।', 'विद्या', 'कामदुधा', 'धेनुः', 'संतोषो', 'नन्दनं', 'वनम्॥']"
मर्माण्यस्थीनि ह्रदयं तथासून् रुक्षा वाचो निर्दहन्तीह पुंसाम्। तस्माद् वाचुमुषतीमुग्ररुपां धर्मारामो नित्यशो वर्जयीत॥,"['मर्माण्यस्थीनि', 'ह्रदयं', 'तथासून्', 'रुक्षा', 'वाचो', 'निर्दहन्तीह', 'पुंसाम्।', 'तस्माद्', 'वाचुमुषतीमुग्ररुपां', 'धर्मारामो', 'नित्यशो', 'वर्जयीत॥']"
पृथिव्यां त्रीणी रत्नानि अन्नमापः सुभाषितम् । मूढैः पाषाणखण्डेषु रत्नसंज्ञा विधीयते ॥,"['पृथिव्यां', 'त्रीणी', 'रत्नानि', 'अन्नमापः', 'सुभाषितम्', '।', 'मूढैः', 'पाषाणखण्डेषु', 'रत्नसंज्ञा', 'विधीयते', '॥']"
कांश्चिदर्थात्ररः प्राज्ञो लघुमूलान्महाफलान्। क्षिप्रमारभते कर्तुं न विघ्नयति तादृशान् ॥,"['कांश्चिदर्थात्ररः', 'प्राज्ञो', 'लघुमूलान्महाफलान्।', 'क्षिप्रमारभते', 'कर्तुं', 'न', 'विघ्नयति', 'तादृशान्', '॥']"
रथः शरीरं पुरुषस्य राजत्रात्मा नियन्तेन्द्रियाण्यस्य चाश्चाः। तैरप्रमत्तः कुशली सदश्वैर्दान्तैः सुखं याति रथीव धीरः ॥,"['रथः', 'शरीरं', 'पुरुषस्य', 'राजत्रात्मा', 'नियन्तेन्द्रियाण्यस्य', 'चाश्चाः।', 'तैरप्रमत्तः', 'कुशली', 'सदश्वैर्दान्तैः', 'सुखं', 'याति', 'रथीव', 'धीरः', '॥']"
अन्तर्गतमलो दुष्टस्तीर्थस्नानशतैरपि। न शुद्धयतियथाभाण्डं सुरया दाहितं च तत्॥,"['अन्तर्गतमलो', 'दुष्टस्तीर्थस्नानशतैरपि।', 'न', 'शुद्धयतियथाभाण्डं', 'सुरया', 'दाहितं', 'च', 'तत्॥']"
अभ्यावहति कल्याणं विविधं वाक् सुभाषिता ॥,"['अभ्यावहति', 'कल्याणं', 'विविधं', 'वाक्', 'सुभाषिता', '॥']"
एको धर्म परम श्रेय क्षमैका शान्तिरुक्तमा। विद्वैका परमा तृप्तिरहिंसैका सुखावहा ॥,"['एको', 'धर्म', 'परम', 'श्रेय', 'क्षमैका', 'शान्तिरुक्तमा।', 'विद्वैका', 'परमा', 'तृप्तिरहिंसैका', 'सुखावहा', '॥']"
पात्रत्वाद् धनमाप्नोति ॥,"['पात्रत्वाद्', 'धनमाप्नोति', '॥']"
बहूनामप्यसाराणां समवायो हि दुर्जयः ॥,"['बहूनामप्यसाराणां', 'समवायो', 'हि', 'दुर्जयः', '॥']"
विद्या परमं बलम ॥,"['विद्या', 'परमं', 'बलम', '॥']"
पन्चाग्न्यो मनुष्येण परिचर्या प्रयत्नत। पिता माताग्निरात्मा च गुरुश्च भरतर्षभ ॥,"['पन्चाग्न्यो', 'मनुष्येण', 'परिचर्या', 'प्रयत्नत।', 'पिता', 'माताग्निरात्मा', 'च', 'गुरुश्च', 'भरतर्षभ', '॥']"
कुलं शीलेन रक्ष्यते ॥,"['कुलं', 'शीलेन', 'रक्ष्यते', '॥']"
अतितृष्णा न कर्तव्या तृष्णां नैव परित्यजेत् ॥,"['अतितृष्णा', 'न', 'कर्तव्या', 'तृष्णां', 'नैव', 'परित्यजेत्', '॥']"
द्वाविमौ पुरुषौ राजन स्वर्गस्योपरि तिष्ठत । प्रभुश्च क्षमया युक्तो दरिद्रश्च प्रदानवान् ॥,"['द्वाविमौ', 'पुरुषौ', 'राजन', 'स्वर्गस्योपरि', 'तिष्ठत', '।', 'प्रभुश्च', 'क्षमया', 'युक्तो', 'दरिद्रश्च', 'प्रदानवान्', '॥']"
पण्डितोऽपि वरं शत्रुर्न मूर्खो हितकारकः ॥,"['पण्डितोऽपि', 'वरं', 'शत्रुर्न', 'मूर्खो', 'हितकारकः', '॥']"
न वै भित्रा जातु चरन्ति धर्मं न वै सुखं प्राप्नुवन्तीह भित्राः। न वै सुखंभित्रा गौरवंप्राप्नुवन्ति न वै भित्राप्रशमंरोचयन्ति ॥,"['न', 'वै', 'भित्रा', 'जातु', 'चरन्ति', 'धर्मं', 'न', 'वै', 'सुखं', 'प्राप्नुवन्तीह', 'भित्राः।', 'न', 'वै', 'सुखंभित्रा', 'गौरवंप्राप्नुवन्ति', 'न', 'वै', 'भित्राप्रशमंरोचयन्ति', '॥']"
कामं क्रोधं तथा लोभं स्वाद शृङ्गारकौतुकम्। अतिनिद्राऽतिसेवा च विद्यार्थी ह्याष्ट वर्जयेत्॥,"['कामं', 'क्रोधं', 'तथा', 'लोभं', 'स्वाद', 'शृङ्गारकौतुकम्।', 'अतिनिद्राऽतिसेवा', 'च', 'विद्यार्थी', 'ह्याष्ट', 'वर्जयेत्॥']"
गतं शोको न कर्तव्यं भविष्यं नैव चिन्तयेत्। वर्तमानेन कालेन प्रवर्तन्ते विचक्षणाः॥,"['गतं', 'शोको', 'न', 'कर्तव्यं', 'भविष्यं', 'नैव', 'चिन्तयेत्।', 'वर्तमानेन', 'कालेन', 'प्रवर्तन्ते', 'विचक्षणाः॥']"
यशोधनानां हि यशो गरीयः ॥,"['यशोधनानां', 'हि', 'यशो', 'गरीयः', '॥']"
नास्ति मेघसमं तोयं नास्ति चात्मसमं बलम्। नास्ति चक्षुसमं तेजो नास्ति चान्नसमं प्रियम्॥,"['नास्ति', 'मेघसमं', 'तोयं', 'नास्ति', 'चात्मसमं', 'बलम्।', 'नास्ति', 'चक्षुसमं', 'तेजो', 'नास्ति', 'चान्नसमं', 'प्रियम्॥']"
ईप्सितं मनसः सर्वं कस्य सम्पद्यते सुखम्। दैवायत्तं यतः सर्वं तस्मात् सन्तोषमाश्रयेत्॥,"['ईप्सितं', 'मनसः', 'सर्वं', 'कस्य', 'सम्पद्यते', 'सुखम्।', 'दैवायत्तं', 'यतः', 'सर्वं', 'तस्मात्', 'सन्तोषमाश्रयेत्॥']"
षडिमान् पुरुषो जह्यात् भिन्नं नावमिवार्णवे अप्रवक्तारं आचार्यं अनध्यायिनम् ऋत्विजम् । आरक्षितारं राजानं भार्यां चाऽप्रियवादिनीं ग्रामकामं च गोपालं वनकामं च नापितम्॥,"['षडिमान्', 'पुरुषो', 'जह्यात्', 'भिन्नं', 'नावमिवार्णवे', 'अप्रवक्तारं', 'आचार्यं', 'अनध्यायिनम्', 'ऋत्विजम्', '।', 'आरक्षितारं', 'राजानं', 'भार्यां', 'चाऽप्रियवादिनीं', 'ग्रामकामं', 'च', 'गोपालं', 'वनकामं', 'च', 'नापितम्॥']"
उपायपूर्वं न दुष्करं स्यात् ॥,"['उपायपूर्वं', 'न', 'दुष्करं', 'स्यात्', '॥']"
वृत्तं यत्नेन संरक्षेद् वित्तमेति च याति च। अक्षीणो वित्ततः क्षीणो वृत्ततस्तु हतो हतः ॥,"['वृत्तं', 'यत्नेन', 'संरक्षेद्', 'वित्तमेति', 'च', 'याति', 'च।', 'अक्षीणो', 'वित्ततः', 'क्षीणो', 'वृत्ततस्तु', 'हतो', 'हतः', '॥']"
अपुत्रता मनुष्याणां श्रेयसे न कुपुत्रता ॥,"['अपुत्रता', 'मनुष्याणां', 'श्रेयसे', 'न', 'कुपुत्रता', '॥']"
धर्मस्य मूलमर्थः ॥,"['धर्मस्य', 'मूलमर्थः', '॥']"
नास्ति बुद्धिमतां शत्रुः ॥,"['नास्ति', 'बुद्धिमतां', 'शत्रुः', '॥']"
उपायेन हि यच्छक्यं न तच्छक्यं पराक्रमैः ॥,"['उपायेन', 'हि', 'यच्छक्यं', 'न', 'तच्छक्यं', 'पराक्रमैः', '॥']"
चराति चरतो भगः ॥,"['चराति', 'चरतो', 'भगः', '॥']"
अहिं नृपं च शार्दूलं वराटं बालकं तथा। परश्वानं च मूर्खं च सप्तसुप्तान् बोधयेत्॥,"['अहिं', 'नृपं', 'च', 'शार्दूलं', 'वराटं', 'बालकं', 'तथा।', 'परश्वानं', 'च', 'मूर्खं', 'च', 'सप्तसुप्तान्', 'बोधयेत्॥']"
मानेन रक्ष्यते धान्यमश्चान् रक्षत्यनुक्रमः । अभीक्ष्णदर्शनं ग्राश्च स्त्रियो रक्ष्याः कुचैलतः ॥,"['मानेन', 'रक्ष्यते', 'धान्यमश्चान्', 'रक्षत्यनुक्रमः', '।', 'अभीक्ष्णदर्शनं', 'ग्राश्च', 'स्त्रियो', 'रक्ष्याः', 'कुचैलतः', '॥']"
शुनः पुच्छमिव व्यर्थं जीवितं विद्यया विना। न गुह्यगोपने शक्तं न च दंशनिवारणे॥,"['शुनः', 'पुच्छमिव', 'व्यर्थं', 'जीवितं', 'विद्यया', 'विना।', 'न', 'गुह्यगोपने', 'शक्तं', 'न', 'च', 'दंशनिवारणे॥']"
कोकिलानां स्वरो रूपं नारी रूपं पतिव्रतम्। विद्या रूपं कुरूपाणां क्षमा रूपं तपस्विनाम्॥,"['कोकिलानां', 'स्वरो', 'रूपं', 'नारी', 'रूपं', 'पतिव्रतम्।', 'विद्या', 'रूपं', 'कुरूपाणां', 'क्षमा', 'रूपं', 'तपस्विनाम्॥']"
वनस्पतेरपक्वानि फलानि प्रचिनोति यः । स नाप्नोति रसं तेभ्यो बीजं चास्य विनश्यति ॥,"['वनस्पतेरपक्वानि', 'फलानि', 'प्रचिनोति', 'यः', '।', 'स', 'नाप्नोति', 'रसं', 'तेभ्यो', 'बीजं', 'चास्य', 'विनश्यति', '॥']"
संहतिः कार्यसाधिका ॥,"['संहतिः', 'कार्यसाधिका', '॥']"
निश्चित्वा यः प्रक्रमते नान्तर्वसति कर्मणः । अवन्ध्यकालो वश्यात्मा स वै पण्डित उच्यते ॥,"['निश्चित्वा', 'यः', 'प्रक्रमते', 'नान्तर्वसति', 'कर्मणः', '।', 'अवन्ध्यकालो', 'वश्यात्मा', 'स', 'वै', 'पण्डित', 'उच्यते', '॥']"
निर्गुणस्य हतं रूपं दुःशीलस्य हतं कुलम्। असिद्धस्य हता विद्या अभोगस्य हतं धनम्॥,"['निर्गुणस्य', 'हतं', 'रूपं', 'दुःशीलस्य', 'हतं', 'कुलम्।', 'असिद्धस्य', 'हता', 'विद्या', 'अभोगस्य', 'हतं', 'धनम्॥']"
न ह्राविज्ञातशीलस्य प्रदातव्यः प्रतिश्रयः ॥,"['न', 'ह्राविज्ञातशीलस्य', 'प्रदातव्यः', 'प्रतिश्रयः', '॥']"
एकः सम्पत्रमश्नाति वस्त्रे वासश्च शोभनम् । योऽसंविभज्य भृत्येभ्यः को नृशंसतरस्ततः ॥,"['एकः', 'सम्पत्रमश्नाति', 'वस्त्रे', 'वासश्च', 'शोभनम्', '।', 'योऽसंविभज्य', 'भृत्येभ्यः', 'को', 'नृशंसतरस्ततः', '॥']"
चला लक्ष्मीश्चलाः प्राणाश्चले जीवितमन्दिरे। चलाचले च संसारे धर्म एको हि निश्चलः॥,"['चला', 'लक्ष्मीश्चलाः', 'प्राणाश्चले', 'जीवितमन्दिरे।', 'चलाचले', 'च', 'संसारे', 'धर्म', 'एको', 'हि', 'निश्चलः॥']"
प्रियो भवति दानेन प्रियवादेन चापरः। मन्त्रमूलबलेनान्यो यः प्रियः प्रिय एव सः ॥,"['प्रियो', 'भवति', 'दानेन', 'प्रियवादेन', 'चापरः।', 'मन्त्रमूलबलेनान्यो', 'यः', 'प्रियः', 'प्रिय', 'एव', 'सः', '॥']"
षण्णामात्मनि नित्यानामैश्वर्यं योऽधिगच्छति। न स पापैः कुतोऽनथैर्युज्यते विजितेन्द्रियः ॥,"['षण्णामात्मनि', 'नित्यानामैश्वर्यं', 'योऽधिगच्छति।', 'न', 'स', 'पापैः', 'कुतोऽनथैर्युज्यते', 'विजितेन्द्रियः', '॥']"
ते पुत्रा ये पितुर्भक्ताः सः पिता यस्तु पोषकः। तन्मित्रं यत्र विश्वासः सा भार्या या निवृतिः ॥,"['ते', 'पुत्रा', 'ये', 'पितुर्भक्ताः', 'सः', 'पिता', 'यस्तु', 'पोषकः।', 'तन्मित्रं', 'यत्र', 'विश्वासः', 'सा', 'भार्या', 'या', 'निवृतिः', '॥']"
यत् सुखं सेवमानोपि धर्मार्थाभ्यां न हीयते। कामं तदुपसेवेत न मूढव्रतमाचरेत्। ॥,"['यत्', 'सुखं', 'सेवमानोपि', 'धर्मार्थाभ्यां', 'न', 'हीयते।', 'कामं', 'तदुपसेवेत', 'न', 'मूढव्रतमाचरेत्।', '॥']"
विद्या धनेषु उत्तमा वर्त्तते ॥,"['विद्या', 'धनेषु', 'उत्तमा', 'वर्त्तते', '॥']"
सत्यमेव जयते ॥,"['सत्यमेव', 'जयते', '॥']"
विद्यामदो धनमदस्तृतीयोऽभिजनो मदः । मदा एतेऽवलिप्तानामेत एव सतां दमाः ॥,"['विद्यामदो', 'धनमदस्तृतीयोऽभिजनो', 'मदः', '।', 'मदा', 'एतेऽवलिप्तानामेत', 'एव', 'सतां', 'दमाः', '॥']"
अभ्यावहति कल्याणं विविधं वाक् सुभाषिता। सैव दुर्भाषिता राजनर्थायोपपद्यते ॥,"['अभ्यावहति', 'कल्याणं', 'विविधं', 'वाक्', 'सुभाषिता।', 'सैव', 'दुर्भाषिता', 'राजनर्थायोपपद्यते', '॥']"
सन्तापाद् भ्रश्यते रुपं सन्तापाद् भ्रश्यते बलम्। सन्तापाद् भ्रश्यते ज्ञानं सन्तापाद् व्याधिमृच्छति ॥,"['सन्तापाद्', 'भ्रश्यते', 'रुपं', 'सन्तापाद्', 'भ्रश्यते', 'बलम्।', 'सन्तापाद्', 'भ्रश्यते', 'ज्ञानं', 'सन्तापाद्', 'व्याधिमृच्छति', '॥']"
उपायं चिन्तयेत्प्राज्ञस्तथा पायं च चिन्तयेत् ॥,"['उपायं', 'चिन्तयेत्प्राज्ञस्तथा', 'पायं', 'च', 'चिन्तयेत्', '॥']"
यादृशैः सत्रिविशते यादृशांश्चोपसेवते। यादृगिच्छेच्च भवितुं तादृग् भवति पूरुषः ॥,"['यादृशैः', 'सत्रिविशते', 'यादृशांश्चोपसेवते।', 'यादृगिच्छेच्च', 'भवितुं', 'तादृग्', 'भवति', 'पूरुषः', '॥']"
ये शोकमनुवर्त्तन्ते न तेषां विद्यते सुखम् ॥,"['ये', 'शोकमनुवर्त्तन्ते', 'न', 'तेषां', 'विद्यते', 'सुखम्', '॥']"
दश धर्मं न जानन्ति धृतराष्ट्र निबोध तान्। मत्तः प्रमत्तः उन्मत्तः श्रान्तः क्रुद्धो बुभुक्षितः ॥ त्वरमाणश्च लुब्धश्च भीतः कामी च ते दश। तस्मादेतेषु सर्वेषु न प्रसज्जेत पण्डितः ॥,"['दश', 'धर्मं', 'न', 'जानन्ति', 'धृतराष्ट्र', 'निबोध', 'तान्।', 'मत्तः', 'प्रमत्तः', 'उन्मत्तः', 'श्रान्तः', 'क्रुद्धो', 'बुभुक्षितः', '॥', 'त्वरमाणश्च', 'लुब्धश्च', 'भीतः', 'कामी', 'च', 'ते', 'दश।', 'तस्मादेतेषु', 'सर्वेषु', 'न', 'प्रसज्जेत', 'पण्डितः', '॥']"
न योऽभ्यसुयत्यनुकम्पते च न दुर्बलः प्रातिभाव्यं करोति । नात्याह किञ्चित् क्षमते विवादं सर्वत्र तादृग् लभते प्रशांसाम् ॥,"['न', 'योऽभ्यसुयत्यनुकम्पते', 'च', 'न', 'दुर्बलः', 'प्रातिभाव्यं', 'करोति', '।', 'नात्याह', 'किञ्चित्', 'क्षमते', 'विवादं', 'सर्वत्र', 'तादृग्', 'लभते', 'प्रशांसाम्', '॥']"
आलस्यं मदमोहौ चापलं गोष्टिरेव च। स्तब्धता चाभिमानित्वं तथा त्यागित्वमेव च। एते वै सप्त दोषाः स्युः सदा विद्यार्थिनां मताः ॥,"['आलस्यं', 'मदमोहौ', 'चापलं', 'गोष्टिरेव', 'च।', 'स्तब्धता', 'चाभिमानित्वं', 'तथा', 'त्यागित्वमेव', 'च।', 'एते', 'वै', 'सप्त', 'दोषाः', 'स्युः', 'सदा', 'विद्यार्थिनां', 'मताः', '॥']"
अप्युन्मत्तात् प्रलपतो बालाच्च परिजल्पतः। सर्वतः सारमादद्यात् अश्मभ्य इव काञ्जनम् ॥,"['अप्युन्मत्तात्', 'प्रलपतो', 'बालाच्च', 'परिजल्पतः।', 'सर्वतः', 'सारमादद्यात्', 'अश्मभ्य', 'इव', 'काञ्जनम्', '॥']"
येऽर्थाः स्त्रीषु समायुक्ताः प्रमत्तपतितेषु च। ये चानार्ये समासक्ताः सर्वे ते संशयं गताः ॥,"['येऽर्थाः', 'स्त्रीषु', 'समायुक्ताः', 'प्रमत्तपतितेषु', 'च।', 'ये', 'चानार्ये', 'समासक्ताः', 'सर्वे', 'ते', 'संशयं', 'गताः', '॥']"
बलवन्तं रिपु दृष्ट् वा न वामान प्रकोपयेत् ॥,"['बलवन्तं', 'रिपु', 'दृष्ट्', 'वा', 'न', 'वामान', 'प्रकोपयेत्', '॥']"
त्यजेदेकं कुलस्यार्थे ग्रामस्यार्थे कुलं त्यजेत्। ग्रामं जनपदस्यार्थे आत्मार्थे पृथिवीं त्यजेत्॥,"['त्यजेदेकं', 'कुलस्यार्थे', 'ग्रामस्यार्थे', 'कुलं', 'त्यजेत्।', 'ग्रामं', 'जनपदस्यार्थे', 'आत्मार्थे', 'पृथिवीं', 'त्यजेत्॥']"
यस्य स्नेहो भयं तस्य स्नेहो दुःखस्य भाजनम्। स्नेहमूलानि दुःखानि तानि त्यक्तवा वसेत्सुखम्॥,"['यस्य', 'स्नेहो', 'भयं', 'तस्य', 'स्नेहो', 'दुःखस्य', 'भाजनम्।', 'स्नेहमूलानि', 'दुःखानि', 'तानि', 'त्यक्तवा', 'वसेत्सुखम्॥']"
अग्निदाहादपि विशिष्टं वाक्पारुष्यम् ॥,"['अग्निदाहादपि', 'विशिष्टं', 'वाक्पारुष्यम्', '॥']"
नास्ति कामसमो व्याधिर्नास्ति मोहसमो रिपुः। नास्ति कोप समो वह्नि र्नास्ति ज्ञानात्परं सुखम्॥,"['नास्ति', 'कामसमो', 'व्याधिर्नास्ति', 'मोहसमो', 'रिपुः।', 'नास्ति', 'कोप', 'समो', 'वह्नि', 'र्नास्ति', 'ज्ञानात्परं', 'सुखम्॥']"
पूर्वं निश्चित्य पश्चात् कार्यभारभेत् ॥,"['पूर्वं', 'निश्चित्य', 'पश्चात्', 'कार्यभारभेत्', '॥']"
श्रोतव्यं खलु वृध्दानामिति शास्त्रनिदर्शनम् ॥,"['श्रोतव्यं', 'खलु', 'वृध्दानामिति', 'शास्त्रनिदर्शनम्', '॥']"
विद्वानेव विजानाति विद्वज्जन परिश्रमम् ॥,"['विद्वानेव', 'विजानाति', 'विद्वज्जन', 'परिश्रमम्', '॥']"
सत्यमेव जयते न अनृतम् ॥,"['सत्यमेव', 'जयते', 'न', 'अनृतम्', '॥']"
एकेनापि सुपुत्रेण विद्यायुक्ते च साधुना। आह्लादितं कुलं सर्वं यथा चन्द्रेण शर्वरी॥,"['एकेनापि', 'सुपुत्रेण', 'विद्यायुक्ते', 'च', 'साधुना।', 'आह्लादितं', 'कुलं', 'सर्वं', 'यथा', 'चन्द्रेण', 'शर्वरी॥']"
कृते प्रतिकृतिं कुर्यात् हिंसेन प्रतिहिंसनम् । तत्र दोषो न पतति दुष्टे दौष्ट्यं समाचरेत्॥,"['कृते', 'प्रतिकृतिं', 'कुर्यात्', 'हिंसेन', 'प्रतिहिंसनम्', '।', 'तत्र', 'दोषो', 'न', 'पतति', 'दुष्टे', 'दौष्ट्यं', 'समाचरेत्॥']"
दैवेन देयमिति कापुरुषा वदन्ति ॥,"['दैवेन', 'देयमिति', 'कापुरुषा', 'वदन्ति', '॥']"
समैर्विवाहः कुरुते न हीनैः समैः सख्यं व्यवहारं कथां च । गुणैर्विशिष्टांश्च पुरो दधाति विपश्चितस्तस्य नयाः सुनीताः॥,"['समैर्विवाहः', 'कुरुते', 'न', 'हीनैः', 'समैः', 'सख्यं', 'व्यवहारं', 'कथां', 'च', '।', 'गुणैर्विशिष्टांश्च', 'पुरो', 'दधाति', 'विपश्चितस्तस्य', 'नयाः', 'सुनीताः॥']"
धनधान्य प्रयोगेषु विद्या सङ्ग्रहेषु च। आहारे व्यवहारे च त्यक्तलज्जः सुखी भवेत्॥,"['धनधान्य', 'प्रयोगेषु', 'विद्या', 'सङ्ग्रहेषु', 'च।', 'आहारे', 'व्यवहारे', 'च', 'त्यक्तलज्जः', 'सुखी', 'भवेत्॥']"
जरा रुपं हरति धैर्यमाशा मृत्युः प्राणान् धर्मचर्यामसूया। कामो ह्रियं वृत्तमनार्यसेवा क्रोधः श्रियं सर्वमेवाभिमानः ॥,"['जरा', 'रुपं', 'हरति', 'धैर्यमाशा', 'मृत्युः', 'प्राणान्', 'धर्मचर्यामसूया।', 'कामो', 'ह्रियं', 'वृत्तमनार्यसेवा', 'क्रोधः', 'श्रियं', 'सर्वमेवाभिमानः', '॥']"
गतिरात्मवतां सन्तः सन्त एव सतां गतिः। असतां च गतिः सन्तो न त्वसन्तः सतां गतिः ॥,"['गतिरात्मवतां', 'सन्तः', 'सन्त', 'एव', 'सतां', 'गतिः।', 'असतां', 'च', 'गतिः', 'सन्तो', 'न', 'त्वसन्तः', 'सतां', 'गतिः', '॥']"
नास्ति भीरोः कार्यचिन्ता ॥,"['नास्ति', 'भीरोः', 'कार्यचिन्ता', '॥']"
द्वाविमौ कण्टकौ तीक्ष्णौ शरीरपरिशोषिणौ। यश्चाधनः कामयते यश्च कुप्यत्यनीश्चरः ॥,"['द्वाविमौ', 'कण्टकौ', 'तीक्ष्णौ', 'शरीरपरिशोषिणौ।', 'यश्चाधनः', 'कामयते', 'यश्च', 'कुप्यत्यनीश्चरः', '॥']"
तावन्मौनेन नीयन्ते कोकिलश्चैव वासराः । यावत्सर्वं जनानन्ददायिनी वाङ्न प्रवर्तते॥,"['तावन्मौनेन', 'नीयन्ते', 'कोकिलश्चैव', 'वासराः', '।', 'यावत्सर्वं', 'जनानन्ददायिनी', 'वाङ्न', 'प्रवर्तते॥']"
श्रुतं प्रज्ञानुगं यस्य प्रज्ञा चैव श्रुतानुगा। असम्भित्रायेमर्यादः पण्डिताख्यां लभेत सः ॥,"['श्रुतं', 'प्रज्ञानुगं', 'यस्य', 'प्रज्ञा', 'चैव', 'श्रुतानुगा।', 'असम्भित्रायेमर्यादः', 'पण्डिताख्यां', 'लभेत', 'सः', '॥']"
